Date,Scenario,CAE,Revenue
9/28/2020,ACTUALS,Garcia,100
9/28/2020,ACTUALS,Garcia,100
9/28/2020,ACTUALS,Garcia,100
9/28/2020,ACTUALS,Garcia,100
9/28/2020,ACTUALS,Garcia,100
9/28/2020,ACTUALS,Garcia,100
9/28/2020,ACTUALS,Garcia,100
9/28/2020,ACTUALS,Garcia,100
9/28/2020,ACTUALS,Garcia,100
9/28/2020,ACTUALS,Garcia,100
9/28/2020,ACTUALS,Garcia,100
9/28/2020,ACTUALS,Garcia,5379.55
9/28/2020,ACTUALS,Garcia,1680
9/28/2020,ACTUALS,Garcia,390
9/27/2020,ACTUALS,Wang,1800
9/27/2020,ACTUALS,Wang,3000
9/27/2020,ACTUALS,Wang,100
9/27/2020,ACTUALS,Garcia,100
9/27/2020,ACTUALS,Garcia,100
9/27/2020,ACTUALS,Wang,100
9/27/2020,ACTUALS,Ianova,100
9/27/2020,ACTUALS,Ianova,230
9/27/2020,ACTUALS,Ianova,129.5
9/27/2020,ACTUALS,Ianova,280
9/27/2020,ACTUALS,Murphy,100
9/27/2020,ACTUALS,Murphy,100
9/27/2020,ACTUALS,Murphy,1100
9/27/2020,ACTUALS,Ianova,100
9/27/2020,ACTUALS,Ianova,15500
9/27/2020,ACTUALS,Ianova,332.5
9/27/2020,ACTUALS,Smith,100
9/27/2020,ACTUALS,Smith,100
9/27/2020,ACTUALS,Ianova,100
9/27/2020,ACTUALS,Smith,100
9/27/2020,ACTUALS,Smith,100
9/27/2020,ACTUALS,Smith,100
9/27/2020,ACTUALS,Ianova,-588
9/27/2020,ACTUALS,Smith,100
9/27/2020,ACTUALS,Smith,70
9/27/2020,ACTUALS,Smith,100
9/27/2020,ACTUALS,Smith,1785
9/27/2020,ACTUALS,Smith,100
9/27/2020,ACTUALS,Smith,100
9/27/2020,ACTUALS,Wang,100
9/27/2020,ACTUALS,Wang,100
9/27/2020,ACTUALS,Wang,100
9/27/2020,ACTUALS,Wang,100
9/27/2020,ACTUALS,Wang,100
9/27/2020,ACTUALS,Wang,100
9/27/2020,ACTUALS,Wang,100
9/27/2020,ACTUALS,Wang,3425
9/27/2020,ACTUALS,Wang,100
9/27/2020,ACTUALS,Murphy,125.56
9/27/2020,ACTUALS,Murphy,100
9/27/2020,ACTUALS,Murphy,100
9/27/2020,ACTUALS,Murphy,100
9/27/2020,ACTUALS,Murphy,13800
9/27/2020,ACTUALS,Murphy,100
9/27/2020,ACTUALS,Murphy,26250
9/27/2020,ACTUALS,Murphy,100
9/27/2020,ACTUALS,Murphy,100
9/27/2020,ACTUALS,Murphy,1605
9/27/2020,ACTUALS,Murphy,432.5
9/27/2020,ACTUALS,Murphy,100
9/27/2020,ACTUALS,Murphy,64360
9/27/2020,ACTUALS,Murphy,100
9/27/2020,ACTUALS,Murphy,100
9/27/2020,ACTUALS,Garcia,12750
9/27/2020,ACTUALS,Garcia,12750
9/27/2020,ACTUALS,Garcia,100
9/26/2020,ACTUALS,Garcia,1075
9/26/2020,ACTUALS,Wang,-2321
9/26/2020,ACTUALS,Wang,269.72
9/26/2020,ACTUALS,Wang,252.22
9/26/2020,ACTUALS,Wang,182.22
9/26/2020,ACTUALS,Garcia,100
9/26/2020,ACTUALS,Garcia,2720
9/26/2020,ACTUALS,Garcia,600
9/26/2020,ACTUALS,Garcia,424.72
9/26/2020,ACTUALS,Ianova,230
9/26/2020,ACTUALS,Ianova,230
9/26/2020,ACTUALS,Ianova,2800
9/26/2020,ACTUALS,Murphy,6809
9/26/2020,ACTUALS,Ianova,702.5
9/26/2020,ACTUALS,Garcia,6377.48
9/26/2020,ACTUALS,Smith,207.5
9/26/2020,ACTUALS,Smith,4180
9/26/2020,ACTUALS,Ianova,275
9/26/2020,ACTUALS,Smith,120
9/26/2020,ACTUALS,Smith,120
9/26/2020,ACTUALS,Smith,120
9/26/2020,ACTUALS,Smith,120
9/26/2020,ACTUALS,Ianova,2994
9/26/2020,ACTUALS,Smith,572
9/26/2020,ACTUALS,Smith,10
9/26/2020,ACTUALS,Smith,30
9/26/2020,ACTUALS,Smith,70
9/26/2020,ACTUALS,Smith,10
9/26/2020,ACTUALS,Smith,180
9/26/2020,ACTUALS,Smith,130
9/26/2020,ACTUALS,Smith,58
9/26/2020,ACTUALS,Smith,2618
9/26/2020,ACTUALS,Wang,6356.5
9/26/2020,ACTUALS,Wang,285
9/26/2020,ACTUALS,Murphy,50
9/26/2020,ACTUALS,Murphy,2400
9/26/2020,ACTUALS,Murphy,2400
9/26/2020,ACTUALS,Murphy,1200
9/26/2020,ACTUALS,Murphy,1425
9/26/2020,ACTUALS,Murphy,2100
9/26/2020,ACTUALS,Murphy,-3077
9/26/2020,ACTUALS,Murphy,485
9/26/2020,ACTUALS,Garcia,12750
9/26/2020,ACTUALS,Garcia,12750
9/26/2020,ACTUALS,Garcia,13600
9/26/2020,ACTUALS,Garcia,1050
9/26/2020,ACTUALS,Garcia,995
9/26/2020,ACTUALS,Garcia,1700
9/26/2020,ACTUALS,Garcia,1700
9/25/2020,ACTUALS,Smith,50
9/25/2020,ACTUALS,Wang,50
9/25/2020,ACTUALS,Wang,50
9/25/2020,ACTUALS,Wang,2040
9/25/2020,ACTUALS,Wang,50
9/25/2020,ACTUALS,Wang,50
9/25/2020,ACTUALS,Wang,50
9/25/2020,ACTUALS,Wang,50
9/25/2020,ACTUALS,Wang,50
9/25/2020,ACTUALS,Wang,435
9/25/2020,ACTUALS,Garcia,1200
9/25/2020,ACTUALS,Garcia,50
9/25/2020,ACTUALS,Garcia,50
9/25/2020,ACTUALS,Garcia,50
9/25/2020,ACTUALS,Garcia,50
9/25/2020,ACTUALS,Ianova,190
9/25/2020,ACTUALS,Ianova,50
9/25/2020,ACTUALS,Murphy,50
9/25/2020,ACTUALS,Ianova,50
9/25/2020,ACTUALS,Ianova,50
9/25/2020,ACTUALS,Murphy,1611.11
9/25/2020,ACTUALS,Ianova,2125
9/25/2020,ACTUALS,Ianova,865.5
9/25/2020,ACTUALS,Ianova,590
9/25/2020,ACTUALS,Ianova,140
9/25/2020,ACTUALS,Ianova,353.76
9/25/2020,ACTUALS,Ianova,162.5
9/25/2020,ACTUALS,Murphy,50
9/25/2020,ACTUALS,Murphy,389.28
9/25/2020,ACTUALS,Ianova,50
9/25/2020,ACTUALS,Murphy,50
9/25/2020,ACTUALS,Ianova,50
9/25/2020,ACTUALS,Murphy,50
9/25/2020,ACTUALS,Smith,1500
9/25/2020,ACTUALS,Smith,50
9/25/2020,ACTUALS,Smith,50
9/25/2020,ACTUALS,Ianova,50
9/25/2020,ACTUALS,Ianova,50
9/25/2020,ACTUALS,Smith,50
9/25/2020,ACTUALS,Smith,461.8
9/25/2020,ACTUALS,Garcia,6013.5
9/25/2020,ACTUALS,Garcia,50
9/25/2020,ACTUALS,Smith,50
9/25/2020,ACTUALS,Smith,636.51
9/25/2020,ACTUALS,Smith,50
9/25/2020,ACTUALS,Smith,50
9/25/2020,ACTUALS,Ianova,50
9/25/2020,ACTUALS,Ianova,879.5
9/25/2020,ACTUALS,Ianova,845
9/25/2020,ACTUALS,Ianova,1219.26
9/25/2020,ACTUALS,Ianova,860
9/25/2020,ACTUALS,Ianova,216.66
9/25/2020,ACTUALS,Ianova,891.5
9/25/2020,ACTUALS,Ianova,50
9/25/2020,ACTUALS,Smith,50
9/25/2020,ACTUALS,Smith,50
9/25/2020,ACTUALS,Ianova,50
9/25/2020,ACTUALS,Ianova,50
9/25/2020,ACTUALS,Garcia,50
9/25/2020,ACTUALS,Ianova,2810
9/25/2020,ACTUALS,Ianova,237.5
9/25/2020,ACTUALS,Ianova,190
9/25/2020,ACTUALS,Smith,50
9/25/2020,ACTUALS,Wang,50
9/25/2020,ACTUALS,Wang,50
9/25/2020,ACTUALS,Wang,50
9/25/2020,ACTUALS,Murphy,50
9/25/2020,ACTUALS,Murphy,360
9/25/2020,ACTUALS,Murphy,50
9/25/2020,ACTUALS,Murphy,50
9/25/2020,ACTUALS,Murphy,50
9/25/2020,ACTUALS,Murphy,165.56
9/25/2020,ACTUALS,Murphy,165.56
9/25/2020,ACTUALS,Murphy,165.56
9/25/2020,ACTUALS,Murphy,125.56
9/25/2020,ACTUALS,Murphy,125.56
9/25/2020,ACTUALS,Murphy,50
9/25/2020,ACTUALS,Murphy,2975
9/25/2020,ACTUALS,Murphy,50
9/25/2020,ACTUALS,Murphy,50
9/25/2020,ACTUALS,Murphy,50
9/25/2020,ACTUALS,Murphy,50
9/25/2020,ACTUALS,Murphy,50
9/25/2020,ACTUALS,Murphy,50
9/25/2020,ACTUALS,Murphy,50
9/25/2020,ACTUALS,Murphy,50
9/25/2020,ACTUALS,Murphy,2100
9/25/2020,ACTUALS,Garcia,210
9/25/2020,ACTUALS,Garcia,50
9/25/2020,ACTUALS,Garcia,50
9/25/2020,ACTUALS,Garcia,50
9/25/2020,ACTUALS,Garcia,50
9/25/2020,ACTUALS,Garcia,11050
9/25/2020,ACTUALS,Garcia,2070
9/24/2020,ACTUALS,Wang,2100
9/24/2020,ACTUALS,Wang,5200
9/24/2020,ACTUALS,Garcia,2400
9/24/2020,ACTUALS,Wang,5626
9/24/2020,ACTUALS,Murphy,15753.02
9/24/2020,ACTUALS,Ianova,8
9/24/2020,ACTUALS,Ianova,8
9/24/2020,ACTUALS,Murphy,2975
9/24/2020,ACTUALS,Garcia,1800
9/21/2020,ACTUALS,Smith,6517.5
9/21/2020,ACTUALS,Smith,302.5
9/21/2020,ACTUALS,Wang,100
9/21/2020,ACTUALS,Wang,300
9/21/2020,ACTUALS,Wang,3867.26
9/21/2020,ACTUALS,Wang,100
9/21/2020,ACTUALS,Wang,100
9/21/2020,ACTUALS,Wang,300
9/21/2020,ACTUALS,Wang,1050
9/21/2020,ACTUALS,Wang,300
9/21/2020,ACTUALS,Wang,300
9/21/2020,ACTUALS,Wang,252.5
9/21/2020,ACTUALS,Wang,162.5
9/21/2020,ACTUALS,Wang,230
9/21/2020,ACTUALS,Wang,275
9/21/2020,ACTUALS,Wang,275
9/21/2020,ACTUALS,Wang,162.5
9/21/2020,ACTUALS,Wang,180
9/21/2020,ACTUALS,Wang,320
9/21/2020,ACTUALS,Wang,230
9/21/2020,ACTUALS,Wang,691.26
9/21/2020,ACTUALS,Wang,560
9/21/2020,ACTUALS,Wang,330
9/21/2020,ACTUALS,Wang,242.5
9/21/2020,ACTUALS,Wang,190
9/21/2020,ACTUALS,Wang,207.5
9/21/2020,ACTUALS,Wang,190
9/21/2020,ACTUALS,Wang,1440
9/21/2020,ACTUALS,Wang,864.21
9/21/2020,ACTUALS,Garcia,487.5
9/21/2020,ACTUALS,Garcia,7452.5
9/21/2020,ACTUALS,Wang,300
9/21/2020,ACTUALS,Garcia,300
9/21/2020,ACTUALS,Garcia,300
9/21/2020,ACTUALS,Garcia,300
9/21/2020,ACTUALS,Garcia,300
9/21/2020,ACTUALS,Garcia,300
9/21/2020,ACTUALS,Murphy,300
9/21/2020,ACTUALS,Ianova,297.5
9/21/2020,ACTUALS,Ianova,150
9/21/2020,ACTUALS,Ianova,2083
9/21/2020,ACTUALS,Ianova,2083
9/21/2020,ACTUALS,Murphy,13150
9/21/2020,ACTUALS,Ianova,150
9/21/2020,ACTUALS,Murphy,2199.36
9/21/2020,ACTUALS,Ianova,150
9/21/2020,ACTUALS,Murphy,6300
9/21/2020,ACTUALS,Murphy,4680
9/21/2020,ACTUALS,Murphy,3935
9/21/2020,ACTUALS,Murphy,8101.25
9/21/2020,ACTUALS,Smith,284.59
9/21/2020,ACTUALS,Smith,151.11
9/21/2020,ACTUALS,Smith,1675
9/21/2020,ACTUALS,Smith,150
9/21/2020,ACTUALS,Ianova,696.5
9/21/2020,ACTUALS,Smith,384
9/21/2020,ACTUALS,Smith,30
9/21/2020,ACTUALS,Smith,10
9/21/2020,ACTUALS,Smith,10
9/21/2020,ACTUALS,Smith,70
9/21/2020,ACTUALS,Smith,445
9/21/2020,ACTUALS,Smith,4180
9/21/2020,ACTUALS,Smith,1980
9/21/2020,ACTUALS,Smith,1980
9/21/2020,ACTUALS,Smith,1980
9/21/2020,ACTUALS,Murphy,300
9/21/2020,ACTUALS,Smith,300
9/21/2020,ACTUALS,Smith,150
9/21/2020,ACTUALS,Smith,300
9/21/2020,ACTUALS,Smith,150
9/21/2020,ACTUALS,Garcia,2650
9/21/2020,ACTUALS,Garcia,2220
9/21/2020,ACTUALS,Smith,150
9/21/2020,ACTUALS,Smith,300
9/21/2020,ACTUALS,Wang,200
9/21/2020,ACTUALS,Wang,625
9/21/2020,ACTUALS,Murphy,6202.5
9/21/2020,ACTUALS,Murphy,3090
9/21/2020,ACTUALS,Murphy,1365
9/21/2020,ACTUALS,Murphy,150
9/21/2020,ACTUALS,Murphy,150
9/21/2020,ACTUALS,Murphy,300
9/21/2020,ACTUALS,Murphy,1050
9/21/2020,ACTUALS,Murphy,6300
9/21/2020,ACTUALS,Murphy,5100
9/21/2020,ACTUALS,Murphy,400
9/21/2020,ACTUALS,Garcia,3187
9/21/2020,ACTUALS,Garcia,300
9/21/2020,ACTUALS,Garcia,150
9/21/2020,ACTUALS,Garcia,360
9/21/2020,ACTUALS,Garcia,360
9/21/2020,ACTUALS,Garcia,360
9/21/2020,ACTUALS,Garcia,360
9/21/2020,ACTUALS,Garcia,360
9/21/2020,ACTUALS,Garcia,360
9/21/2020,ACTUALS,Garcia,360
9/21/2020,ACTUALS,Garcia,360
9/21/2020,ACTUALS,Garcia,360
9/21/2020,ACTUALS,Garcia,360
9/21/2020,ACTUALS,Garcia,360
9/21/2020,ACTUALS,Garcia,360
9/21/2020,ACTUALS,Garcia,360
9/21/2020,ACTUALS,Garcia,360
9/21/2020,ACTUALS,Garcia,360
9/21/2020,ACTUALS,Garcia,360
9/21/2020,ACTUALS,Garcia,360
9/21/2020,ACTUALS,Garcia,360
9/21/2020,ACTUALS,Garcia,360
9/21/2020,ACTUALS,Garcia,648
9/21/2020,ACTUALS,Garcia,648
9/21/2020,ACTUALS,Garcia,648
9/21/2020,ACTUALS,Garcia,735
9/21/2020,ACTUALS,Garcia,735
9/21/2020,ACTUALS,Garcia,1050
9/21/2020,ACTUALS,Garcia,315
9/21/2020,ACTUALS,Garcia,75
9/21/2020,ACTUALS,Garcia,75
9/21/2020,ACTUALS,Garcia,75
9/21/2020,ACTUALS,Garcia,19
9/21/2020,ACTUALS,Garcia,19
9/21/2020,ACTUALS,Garcia,19
9/21/2020,ACTUALS,Garcia,19
9/21/2020,ACTUALS,Garcia,19
9/21/2020,ACTUALS,Garcia,190
9/21/2020,ACTUALS,Garcia,19
9/21/2020,ACTUALS,Garcia,38
9/21/2020,ACTUALS,Garcia,95
9/21/2020,ACTUALS,Garcia,133
9/21/2020,ACTUALS,Garcia,38
9/21/2020,ACTUALS,Garcia,76
9/21/2020,ACTUALS,Garcia,171
9/21/2020,ACTUALS,Garcia,323
9/21/2020,ACTUALS,Garcia,76
9/21/2020,ACTUALS,Garcia,133
9/21/2020,ACTUALS,Garcia,152
9/21/2020,ACTUALS,Garcia,19
9/21/2020,ACTUALS,Garcia,133
9/21/2020,ACTUALS,Garcia,418
9/21/2020,ACTUALS,Garcia,76
9/21/2020,ACTUALS,Garcia,627
9/21/2020,ACTUALS,Garcia,475
9/21/2020,ACTUALS,Garcia,114
9/21/2020,ACTUALS,Garcia,19
9/21/2020,ACTUALS,Garcia,209
9/21/2020,ACTUALS,Garcia,19
9/21/2020,ACTUALS,Garcia,114
9/21/2020,ACTUALS,Garcia,19
9/21/2020,ACTUALS,Garcia,95
9/21/2020,ACTUALS,Garcia,95
9/21/2020,ACTUALS,Garcia,152
9/21/2020,ACTUALS,Garcia,38
9/21/2020,ACTUALS,Garcia,57
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,100
9/21/2020,ACTUALS,Garcia,300
9/21/2020,ACTUALS,Garcia,300
9/21/2020,ACTUALS,Garcia,300
9/21/2020,ACTUALS,Garcia,300
9/20/2020,ACTUALS,Garcia,2192
9/20/2020,ACTUALS,Ianova,2815
9/20/2020,ACTUALS,Ianova,742.5
9/20/2020,ACTUALS,Ianova,2125
9/20/2020,ACTUALS,Ianova,3360
9/20/2020,ACTUALS,Ianova,2240
9/20/2020,ACTUALS,Ianova,2800
9/20/2020,ACTUALS,Smith,1392.8
9/20/2020,ACTUALS,Ianova,224
9/20/2020,ACTUALS,Murphy,400
9/20/2020,ACTUALS,Murphy,935
9/20/2020,ACTUALS,Murphy,2996.25
9/20/2020,ACTUALS,Murphy,297.5
9/20/2020,ACTUALS,Garcia,2240
9/20/2020,ACTUALS,Garcia,850
9/20/2020,ACTUALS,Garcia,1485
9/20/2020,ACTUALS,Garcia,1800
9/19/2020,ACTUALS,Wang,2100
9/19/2020,ACTUALS,Wang,410
9/19/2020,ACTUALS,Murphy,1116.5
9/19/2020,ACTUALS,Murphy,1330
9/19/2020,ACTUALS,Garcia,381.39
9/19/2020,ACTUALS,Garcia,9197
9/19/2020,ACTUALS,Garcia,11000
9/19/2020,ACTUALS,Ianova,2520
9/19/2020,ACTUALS,Smith,1103.14
9/19/2020,ACTUALS,Murphy,190
9/19/2020,ACTUALS,Murphy,190
9/19/2020,ACTUALS,Murphy,2400
9/19/2020,ACTUALS,Garcia,973.82
9/18/2020,ACTUALS,Wang,-2813
9/18/2020,ACTUALS,Wang,775
9/18/2020,ACTUALS,Garcia,7585
9/18/2020,ACTUALS,Wang,9675
9/18/2020,ACTUALS,Murphy,-0.01
9/18/2020,ACTUALS,Wang,-750
9/18/2020,ACTUALS,Smith,10
9/18/2020,ACTUALS,Smith,560
9/18/2020,ACTUALS,Ianova,5160
9/18/2020,ACTUALS,Smith,765
9/18/2020,ACTUALS,Smith,1710.5
9/18/2020,ACTUALS,Wang,2763
9/18/2020,ACTUALS,Murphy,4060.97
9/18/2020,ACTUALS,Murphy,1251
9/17/2020,ACTUALS,Wang,2975
9/17/2020,ACTUALS,Wang,2100
9/17/2020,ACTUALS,Wang,9400
9/17/2020,ACTUALS,Wang,3750
9/17/2020,ACTUALS,Wang,3000
9/17/2020,ACTUALS,Wang,3000
9/17/2020,ACTUALS,Wang,3228
9/17/2020,ACTUALS,Wang,1595
9/17/2020,ACTUALS,Wang,1900
9/17/2020,ACTUALS,Wang,60
9/17/2020,ACTUALS,Wang,60
9/17/2020,ACTUALS,Wang,145
9/17/2020,ACTUALS,Murphy,7225
9/17/2020,ACTUALS,Garcia,1500
9/17/2020,ACTUALS,Ianova,504
9/17/2020,ACTUALS,Ianova,522.5
9/17/2020,ACTUALS,Ianova,252.5
9/17/2020,ACTUALS,Ianova,2125
9/17/2020,ACTUALS,Ianova,320
9/17/2020,ACTUALS,Ianova,255
9/17/2020,ACTUALS,Ianova,140
9/17/2020,ACTUALS,Ianova,330
9/17/2020,ACTUALS,Ianova,185
9/17/2020,ACTUALS,Ianova,320
9/17/2020,ACTUALS,Ianova,210
9/17/2020,ACTUALS,Ianova,230
9/17/2020,ACTUALS,Murphy,25200
9/17/2020,ACTUALS,Murphy,140
9/17/2020,ACTUALS,Ianova,1200
9/17/2020,ACTUALS,Murphy,0.01
9/17/2020,ACTUALS,Smith,221.11
9/17/2020,ACTUALS,Smith,334.77
9/17/2020,ACTUALS,Ianova,820
9/17/2020,ACTUALS,Smith,995
9/17/2020,ACTUALS,Murphy,125.56
9/17/2020,ACTUALS,Murphy,1605
9/17/2020,ACTUALS,Murphy,282
9/17/2020,ACTUALS,Murphy,3200
